"pid","commentsText"
"19699","Dhanyavadagalu   ?#+@2013 02 17T13:44:05+0000?????? ??????????? ?????????#+@2013 02 17T14:21:23+0000good and timely information: )?#+@2013 02 17T14:40:23+0000thanks for the good info  ?#+@2013 02 17T17:42:33+0000Wat does dis mean   Can any1 explain it caz m unable to read it   Plz help me bro s   ?#+@2013 02 17T18:23:45+0000The image is not clear   Cant read   Please post the information clearly  ?#+@2013 02 18T04:00:06+0000In short  it means  that the city is rampant with 2 wheeler thieves   Some guys approach bike owners are either from the  company  or as mechanics to help repair the vehicle and then do away with the vehicle  the main tragets of these thieves are women   So please be careful who you entrust your vehicle for repairing    Better go directly to the authorised service center personally to get your vehicle replaired?#+@2013 02 18T06:47:05+0000thanks to Bangalore Traffic police?#+@2013 02 18T07:57:17+0000"
"19701","Awesome sir   ?#+@2013 02 16T08:47:37+0000Very Nice?#+@2013 02 16T09:11:40+0000My hats off to Bangalore Traffic Police on the new initiatives   i know Bangalore is growing more than we expected ?#+@2013 02 16T09:21:31+0000great?#+@2013 02 16T10:37:01+0000Hats off  I cant believe this is happening in India    ?#+@2013 02 16T11:06:45+0000What crap  How does providing the cell phone nbr helps? Someone who is driving cannot call on the spot to inform about traffic jam   this is a pro active step that should be taken by BTP rather than waiting for someone to call up  ?#+@2013 02 16T11:14:20+0000This is why we call it a happening city    Nice to see words coming into action ?#+@2013 02 16T11:35:56+0000there is no traffic jams now in that area?#+@2013 02 16T15:16:19+0000BTP reaaly doing a great Job    Proud Bangalorean    ?#+@2013 02 16T18:54:50+0000Amazing    this Is called MEN at work        ?#+@2013 02 18T15:10:17+0000"
"19703","Add pls where its cm ?#+@2013 02 16T04:26:06+0000Oh ?#+@2013 02 16T04:29:46+0000???? ? ??????? ??? ?????? ????????? ???????????? ??????? ?????? ??????????????  
?????????? ?#+@2013 02 16T04:37:05+0000Hello madam your area traffic police station  ?#+@2013 02 16T04:38:53+0000Girinagar has no such facility inspite of large volume of vehicle density for the past one decade?#+@2013 02 16T04:52:46+0000You may kindly call these numbers and find out  https://www facebook com/photo php?fbid=387453157987064&set=a 151911704874545 36909 147207215344994&type=1&ref=nf?#+@2013 02 16T05:29:00+0000Mei bus stop athira ondu segnal aki swami yasvantpura & G g palya maddya  thumbba thondare agtha ede  pls?#+@2013 02 16T05:29:12+0000"
"19704","Very Gud Morning BTP ?#+@2013 02 16T03:38:52+0000very very good morning?#+@2013 02 16T04:19:41+0000Very Good Morning BTP  ?#+@2013 02 16T05:55:18+0000Nice words    ?#+@2013 02 16T06:00:11+0000good morning BLR :)?#+@2013 02 16T11:07:13+0000Trucks parked in Allalasandra   Yelahanka main Road and side road  These trucks totally block view ann many times passengers miss the bus  Today a trucks is parked right at the turning Allaslasandra to yelahanka  The truck is muddy and no parking light  Kindly ensure these tucks are parked only on the places allotted for truck parking ?#+@2013 02 17T01:21:49+0000"
"19707","Thanks Sri Hari PI   banashankari traffic police   9480801929 is his contact number?#+@2013 02 15T05:04:01+0000i ve complained yo many a tym s abt no speed breakers at ova coll 
But no reply :( :( :(?#+@2013 02 15T05:05:35+0000Thank you  Often I notice public taking control and trying to ease traffic on this Itmadu main road  Happy to note that this is brought to your attention  Also have observed certain BMTC buses plying down the kathariguppe water tank junction towards Hoskare halli (a narrow parallel rd to ring road) which I heard that they are not supposed to  This happens mainly in evenings during rush hour  Is it feasible to keep a vigil ??#+@2013 02 15T05:39:59+0000Also other than buses HTV vehicles like private buses  lorries should be not allowed in this narrow road   wanted to bring to your notice that BBMP garbage clearing lorry comes to collect sharp at 8 to 8:30 which is a peak time  can this timing be changed   ?#+@2013 02 15T06:12:53+0000Feel so inspired to see these interactions Keep it UP BTP?#+@2013 02 15T07:41:35+0000@above +01?#+@2013 02 15T07:52:36+0000Good something positive is happening?#+@2013 02 16T05:01:43+0000Bangalore Traffic Police  Still we find lot of private buses and lorries in the narrow road connecting AGS layout and iittamadu   yesterday and today between 8:00 and 9:00 AM we took more 45 min to just cross a 0 5 km stretch    lorry and van drivers dont even care for the two wheelers they simply drive on us if left    I also did see a police personal in the end of ittamadu signal but nothing was done to control the traffic in the narrow lane    is the prohibition still not in affect? We really want private buses  lorries  vans to be prohibited for 24 hours in the narrow lane   ?#+@2013 02 26T03:38:35+0000"
"19711",""
"19713","Can get the english version?#+@2013 02 13T12:33:26+0000Kannada kali       ?#+@2013 02 13T12:35:25+0000un visible   ?#+@2013 02 13T12:47:46+0000Please try to share English version as well along with  Otherwise the communication would reach only those who understand kannada  Kindly take care of this Bangalore Traffic Police?#+@2013 02 13T13:37:30+0000Mr  Sushrutha  grow up       ?#+@2013 02 15T17:49:14+0000"
"19714","thank u   B T P for the information?#+@2013 02 14T11:28:59+0000"
"19716","Dear BTP  Request to post English version too ?#+@2013 02 13T13:41:14+0000Mr Satish Kumar Galla since your in Karnataka we request you to learn Kannada?#+@2013 02 13T17:15:41+0000"
"19717","thank you for the information?#+@2013 02 12T13:46:00+0000Thanks for Information ?#+@2013 02 12T16:26:53+0000gud information  Thank u btp?#+@2013 02 12T17:17:09+0000Thanks BTP?#+@2013 02 12T20:28:37+0000Thank u for inform   ?#+@2013 02 13T00:55:43+0000Good?#+@2013 02 13T04:54:34+0000ugent information eeded  has repair work on the sirsi fly over completed  iam planning to drive to mysore and do not know the route to take ?#+@2013 02 22T08:28:43+0000"
"19718","I wish i understood that in plain english?#+@2013 02 13T04:31:10+0000just Missed?#+@2013 02 19T12:28:15+0000"
"19720","BMTC buses keep breaking down everywhere  Thank God BMTC is not running Airlines ?#+@2013 02 12T08:26:25+0000isn t there a rule/policy to penalise those vehicals which break down & disrupt traffic??#+@2013 02 12T08:37:46+0000Why don;t we penalize BMTC  ? BMTC needs to have their own towing system and Should tow vehicles within 10 15 min   more the delay  more the fine   Anyway  BMTC is profit making local body   they can offord to spend some money for towing initiative ?#+@2013 02 12T08:44:29+0000how can u know wen a vehicle breaks down??  u cant fine a vehicle jus because it breaks down       bt recently i have seen BMTC buses breaking down quite a few times         n ya they should make sure they are able to tow back thier buses ?#+@2013 02 12T09:14:38+0000yes they should have towing system and quickly it should reach the spot like ambulance and tow the bus to nearest bus depot for repair  But they repair the bus on the main road it self  when we will see improvements in these  we are still leaving in stone age procedures?#+@2013 02 12T10:04:38+0000even traffic police should have generic towing system so that any vehicle if breaks down should be removed from the heavy traffic spot ?#+@2013 02 12T10:05:52+0000I was among d ones  who were stuck ther     ?#+@2013 02 12T15:15:29+0000"
"19721","Can every post be written in both  english and kannada?#+@2013 02 12T12:28:02+0000Well  it should be posted only in Kannada  Not just here but even all public services should be available only in Kannada  only then will people learn and respect the language and culture  ?#+@2013 02 12T15:03:21+0000@Ravishankar Balasubramanya grow up   ?#+@2013 02 15T17:51:16+0000Ravi please ask your employer to only do all their work in Kannnada & refuse to work in a co where they dont use Kannada in their correspondence with their clients  Language is only a medium of communication & should remain so & if it helps people if it is also in english so be it  ?#+@2013 02 19T04:48:35+0000"
"19722","thank you?#+@2013 02 12T06:20:16+0000Thank you Bangalore Traffic Police?#+@2013 02 12T06:20:54+0000admin now a dayz im not geting any update msg frm u   ?#+@2013 02 12T06:22:24+0000thankl you sir?#+@2013 02 12T06:36:44+0000Till what time    ? How long will the procession go   ???#+@2013 02 12T06:59:10+0000Upto what time is this procession expected to happen??#+@2013 02 12T07:01:22+0000Right now im near freedom park full traffic jam so pls avoid it ?#+@2013 02 12T07:45:50+0000Dear Bangalore Police  Is it not possible to not grant permission to processions in major roads? Let them do protests  celebrations or whatever it is in a place where it will not disturb the public  May be some place outside city they can protest or celebrate to their hearts content  Why do not we find out a way like this? Please take an initiative and do it and I will promise you 99 % of citizens of this city will be with you ?#+@2013 02 12T09:23:46+0000"
"19723","Good morning Bangalore Traffic Police      ?#+@2013 02 12T03:00:31+0000good morning Bengaluru?#+@2013 02 12T03:01:07+0000GM BTP?#+@2013 02 12T03:03:02+0000I hope that all your officers and men have a nice day ?#+@2013 02 12T03:11:42+0000hello  where i need to upload a photo to traffic website??#+@2013 02 12T04:51:50+0000"
"19725","Dear BTP  how is the traffic right now there  just starting Jayanagar  if you could help  guide about the traffic situation it would really help?#+@2013 02 10T04:11:53+0000Don t forget that there is also a political rally happening at palace grounds ?#+@2013 02 10T04:29:51+0000Is the road from hebbal to devanhalli open  I need to use the road not for BIAL nor for Aero show  ?#+@2013 02 10T05:01:18+0000Road is open only but huge traffic is dar plz avoid from Yalahanka to IAF ?#+@2013 02 10T05:36:39+0000thanx for the info?#+@2013 02 10T05:47:31+0000bangalore doing exellent job every day  Thanks to invite me and getting me information  Sagar gawade Mumbai  Maharashtra?#+@2013 02 10T08:08:35+0000There is lot of congestion near fun world  nandidurg road because of BSP rally    Thought rallies were not allowed any more at palace ground    
Real nuisance   ?#+@2013 02 10T08:16:58+0000Wonderful show in wonderful city ?#+@2013 02 10T14:49:27+0000Great Air show and traffic control show    kudos  ?#+@2013 02 11T05:16:37+0000Very well managed areo show traffic    great job   ?#+@2013 02 11T08:27:06+0000"
"19726","road users can use 4th main also to reach the malleswaram and yasvanth puram   due to religious procession we will divert the traffic near mill corner towards vellipuram   it causes chock near mantri mall sorry for in convenience?#+@2013 02 10T03:16:17+0000Thank You  Sir ?#+@2013 02 10T03:38:58+0000Thanks for updating      Will avoid going to Mantri mall   ?#+@2013 02 10T03:49:12+0000Many thanks :)?#+@2013 02 10T04:30:41+0000Thanks for update BTP    ?#+@2013 02 10T07:34:06+0000Thank u?#+@2013 02 10T14:54:47+0000"
"19727","Ok kool?#+@2013 02 09T11:01:13+0000K ?#+@2013 02 09T11:03:43+0000wow cool       We are also participating in this religious procession    we support the cause      ?#+@2013 02 09T11:53:48+0000Thanks for the info?#+@2013 02 09T12:10:21+0000Pancha Garuda Mahotsava   I think even Margosa road will be partially closed as the event is slated to be at the Malleshwaram 5th cross grounds opposite Malleshwaram police station ?#+@2013 02 09T12:13:20+0000yes vasuki but we are too much worried about sampige road week end traffic near mantri mall it will get troubled?#+@2013 02 10T03:22:48+0000road users can use 4th main also to reach the malleswaram and yasvanth puram   due to religious procession we will divert the traffic near mill corner towards vellipuram   it causes chock near mantri mall sorry for in convenience?#+@2013 02 10T03:23:15+0000Dis is gud initiative to help public  great job  thanx to Bangalore traffic police ?#+@2013 02 10T10:51:33+0000"
"19728","never ever again close this road   it is difficult to go?#+@2013 02 09T10:19:39+0000"
"19729","for how long??#+@2013 02 09T09:26:28+0000Y??#+@2013 02 09T09:47:31+0000Why ??? ?#+@2013 02 09T09:51:58+0000Is there something in CKP today ?? Or boring ministers meetings ????#+@2013 02 09T10:05:54+0000Reason??#+@2013 02 09T10:20:08+0000Yake swamy  because of Kaveri issue na ?#+@2013 02 09T10:45:15+0000Whyyyy??#+@2013 02 09T12:14:02+0000"
"19730","translation please??#+@2013 02 09T09:31:00+0000Road is closed between Windsor Manor to Shivananda Circle both ways  Kindly take alternate route ?#+@2013 02 09T10:01:01+0000"
"19731","What protest going there???#+@2013 02 09T08:44:46+0000Public protest for afzal hanging? That s sick  ?#+@2013 02 09T08:51:49+0000For Afzal?  Very bas?#+@2013 02 09T09:03:05+0000But who told its for Afzal Hanging antha?? Very Quick to think and come to conclusion   ?#+@2013 02 09T09:27:02+0000What is this protest for??#+@2013 02 09T10:15:55+0000Slum Quarters ex residents protesting    ?#+@2013 02 09T10:43:47+0000ok thank you sir ?#+@2013 02 10T06:40:29+0000"
"19732","More violation are done by the yellow board vehicles?#+@2013 02 09T04:11:35+0000Bold & Clear?#+@2013 02 09T05:16:10+0000I have seen that many 2 wheel riders stuff the phone in their helmets and keep talking and many (EDUcated ) car drivers keep their phone on passenger seat next to them and keep sending & checking messages which is far more distracting than actually talking  Why don t people realise that these are safety rules for their benefit and are not meant for benefit of authorities imposing them???#+@2013 02 09T05:48:05+0000spread the word   but people who use mobile while driving do not use FB   lol?#+@2013 02 09T06:42:50+0000:D i jus saw guy who texting few days ago  on my to work ?#+@2013 02 09T06:44:45+0000I see many Volvo bus drivers speaking over phone and driving with one hand in front of the cops near ITPL and graphite signals  Are they exempted from fines because of the organisation they work for? I see 2 wheeler riders speaking over phone and without helmet on SH35 Whitefield Hoskote road and they are left off  But people who speak on Bluetooth are caught and fined   can you clarify the logic here please? If we see someone speaking over the phone and driving please suggest how we can help you??#+@2013 02 09T07:13:32+0000Please everybody think which is more important for u  ur phone call or U  Pls dont attend r make a call while u drive ?#+@2013 02 09T16:47:00+0000i seen many traffic police and inspectors uses mobile while on duty in traffic signals for a very long time neglecting their duty and traffic  so first it necessary to BTP to guide their own people in this  issue?#+@2013 02 09T18:54:36+0000"
"19734","Gud wrk Btp  keep it up   
?#+@2013 02 08T10:25:29+0000Bangalore Traffic Police: Is two wheeler permitted from Hebbal flyover to BIAL route ? or should we take the alternate route ??#+@2013 02 08T10:54:03+0000on Sunday 10th Feb   ?#+@2013 02 08T10:54:12+0000Sir pls let me know the bmtc bus no  Which goes to aero india show from majestic or from mekhri circle   It will be helpful?#+@2013 02 08T12:46:46+0000He seems looking quite comfortable on riding on footpath  seize his bike first and suspend his license for 2 3yrs  It will ideally set an example for the other repeater offenders  Hope BTP will take this step  Sometime we should send strong message to such guys that they are not above law & order ?#+@2013 02 08T14:52:34+0000please provide info in kannada :)?#+@2013 02 08T16:36:18+0000yes we need in kannada :)?#+@2013 02 08T16:44:59+0000"
"19735","Namaskaara Bengalooru :) ?#+@2013 02 08T02:49:06+0000Die hards?#+@2013 02 08T03:15:06+0000good morinig blr?#+@2013 02 08T03:18:52+0000https://www facebook com/SanjeevJassalPhotography please review?#+@2013 02 08T03:27:29+0000"
"19737","Good Morning BTP?#+@2013 02 07T02:37:07+0000gm?#+@2013 02 07T02:40:26+0000Good Morning Bangalore Traffic Police   ?#+@2013 02 07T02:40:50+0000good morningBTP?#+@2013 02 07T02:43:09+0000Saaar  please come to 1st main gandhinagar and 2nd cross gandhinagar plss  Already 10 tourist busses are parked in front of no parking and no stopping boards  they still have tinted glasses and use shrill horn  Thats like 30 violations from 10 busses       imagine for the rest of the day       ?#+@2013 02 07T02:44:42+0000Very Gud Morning BTP ?#+@2013 02 07T03:46:22+0000Gud morning bangloreeeeeeeeeeeeeee?#+@2013 02 07T04:00:51+0000MEI BUS STOP (TUMKUR ROAD) attira ondu segnal akidre tumba sahaya aguthe APMC POLICE STATION  admele  thanks sar ?#+@2013 02 07T04:48:32+0000"
"19738","Give way to ambulance   ?#+@2013 02 06T09:15:40+0000It happened today morning(11AM) at Koramangala sony world signal for ambulance to wait for more than 3 mins for the signals to go green The cop at signal paid deaf ear to this?#+@2013 02 06T09:37:25+0000It happened few months ago on Old madras road  an ambulance was stuck in police manned junction  so I went to the police man and told him about the ambulance  His immediate response was  ayyo bedi sar  dena savraru baruthey  which means  Just ignore that  I see thousands everyday   If it s a police officer in the ambulance then there is an urgency not for common man??#+@2013 02 06T10:15:38+0000To my knowledge every citizen gives way if they find ambulance on their way  What is the answer in case ambulance is stuck in heavy traffic jam or signal stop were ambulance stuck in long Q  BTP should come with solutions  Cops should be given instruction to give route to ambulance or ambulance drivers should be trained to use alternate roads as most drivers recruited directly they are not aware of ambulance rules  GPS shoudl be installed   In some case ambulance sirens are too low  they should use PA system ?#+@2013 02 06T12:45:30+0000the siren should be very loud like the ones used in foreign countries  the sound in our ambulance is so less that we come to know about it when it is just behind us ?#+@2013 02 09T07:08:59+0000When we can turn on zero traffic for Politicians why can t we do the same for Ambulance? To me the above board should be placed right inside Vidhana soudha and VVIP s office?#+@2013 03 14T14:34:34+0000"
"19739","Was wondering why have they priced the entry to Aero show at such a huge cost ?#+@2013 02 06T04:00:37+0000Very well informed  ?#+@2013 02 06T04:36:41+0000Can you please give more information about the special BMTC buses for the air show in the weekend? When do they start  from where  and where do they drop off??#+@2013 02 06T05:23:46+0000Picture posted is of very small size  please post picture of higher quality to make it easily viewable?#+@2013 02 06T09:39:37+0000There s no clarity in pic posted?#+@2013 02 06T14:30:15+0000"
"19740","good info   thanks for sharing ?#+@2013 02 06T04:05:23+0000come to deverbisnahally?#+@2013 02 06T06:07:17+0000well done BTP?#+@2013 02 06T10:51:26+0000"
"19741","All ways keep mind in safety mood :)?#+@2013 02 06T02:55:34+0000Shubhodaya BTP tandakke ?#+@2013 02 06T03:00:24+0000Supravata sir?#+@2013 02 06T03:06:24+0000nice?#+@2013 02 06T03:34:33+0000true ?#+@2013 02 06T06:32:05+0000"
"19742","Nothing is mentioned about cameras  see this link<https://www aeroindia in/GeneralVisitorExhibitionLandingPage aspx>?#+@2013 02 05T16:40:32+0000C U on Saturday     ?#+@2013 02 05T16:41:13+0000Cameras are definitely allowed    Not sure of Camera Bags though    As they mentioned  Packets  :(?#+@2013 02 05T17:02:41+0000cameras are allowed    but i think will be charged extra for exhibition area    not sure    but thats wot i heard    the ADVA is free for sure    ?#+@2013 02 05T17:06:28+0000Thank u sir adhre modalu pas thagobek adu yali sir?#+@2013 02 05T17:58:16+0000camera are allowed evrywhr even camera backs but army ppl will properly check the camera as well as bags   Even in exhibition its allowed but its mandatory to take original photo id card :) Enjoy the show?#+@2013 02 05T18:13:09+0000Visit http://www facebook com/AEROIndia2013 Bengaluru the curtain raiser to the show ?#+@2013 02 06T01:52:05+0000super?#+@2013 02 06T14:15:20+0000If two people are going together does both should carry the photo ID cards??#+@2013 02 06T15:20:40+0000superrrrrrrrrrr?#+@2013 02 08T20:22:01+0000"
"19743","Cheers ?#+@2013 02 05T16:05:00+0000Hurrah     ?#+@2013 02 05T16:06:01+0000I hope we dont need to be  traffic policed   )  best wishes in ur effort to educate people ?#+@2013 02 05T16:06:48+00003 938 million to go   ?#+@2013 02 05T16:14:10+0000for what?????????????????????/ hahahaaaa?#+@2013 02 05T16:59:15+0000Good  Now setup a notification setting so that whenever someone reports an incident on your wall you get instant notification and act appropriately  That will be something to boast about ?#+@2013 02 05T17:50:24+0000Start working on improving the driving conditions now please  ?#+@2013 02 05T18:19:05+0000Good to know  Congratulations    But does this help in making uncivilized drivers on road civilized? Situation on road is really bad  It seems no rule exists for any one  Honking for every thing  using high beam always  not stopping for people crossing through zebra crossings  parking any where  jumping red lights and so on  It seems  we are living in a banana republic  where any one is free to do any thing  Police should rule the road not those uncivilized drivers  BTP will have to instill fear among those unruly drivers  Instead of just imposing fines  I think all booked drivers should be called for a full day training and then made to pass a driving test  We are with you  please go ahead and establish the values of civilized driving  Believe me  I can not think of a country including China  where driving condition is so bad as in our cities  Let us make Bangalore an exception in India  where drivers are made to follow high standards and driving principles ?#+@2013 02 06T04:13:55+0000Best wishes BTP it is a commendable job you are all doing and the efforts are bearing fruits Keep up the good job ?#+@2013 02 12T05:11:58+0000"
"19744","Sanjay Jagannath?#+@2013 02 05T15:18:36+0000Bangalore Traffic Police :after long time you have posted this  ?#+@2013 02 05T16:06:11+0000Having one of the highest density of traffic per square mile and working in such a harsh environment with pollution and dust  Kudos to you  Bangalore Traffic Police for continuing to out perform yourselves 
As a request  please could all the traffic and other police vehicles?#+@2013 02 05T17:12:00+0000Please could all traffic vehicles and police vehicles have lights  sirens and stickers on the side of the vehicle to indicate that they are Police vehicles  There are lot of the general public who are adding police and army stickers to their motor cycles and vehicles  
Please could this provision be brought to the notice to maintain clear identification of the vehicles and bring about a clear distinction ?#+@2013 02 05T17:14:52+0000I think you guys forgot to add last statement   making sure all officials work for the mission statement  Its fancy thing in India to have a mission statement  and do something else  Everytime I see that  I remember Dr  Raj song  heluvudu ondu  maduvudu innondu    ?#+@2013 02 13T05:58:16+0000To be on par with International Standards  BTP first needs to educate road users about how and WHY the rules ned to be followed instead of wasting money on painting lines on roads which make no sense at all  ?#+@2013 02 14T09:17:20+0000"
"19747",""
"19748","What comes under  offences not specified  ??#+@2013 02 05T12:55:22+0000Those offenses which are not mentioned in motor vehicle act and police officers feels it is an offense  then he can charge 100/  for the first offence ?#+@2013 02 05T12:59:03+0000But doesnt this give the policeman a free hand to charge anyone for anything ? How is the person supposed to contest if a policemen just stops on the road and books him under this point number 36 ??#+@2013 02 05T13:01:15+0000For example  seat belt which is not an offense under initial mv act but now it is offense after 1995 using this section of law ?#+@2013 02 05T13:09:36+0000Sir   5 2 13 at 5:55pm at St Johns  road  a beat constable Shivanna from the Bharathinagar Police Station  stopped me as I was riding my bike  He asked me &  made a note of my complete name  fathers name and my residential address  Then began to check my driving licence and RC book? Why did he make anote of my address ? Can a beat constable stop me when I have followed all rules of traffic? Isin t this the job of a Traffic Police??#+@2013 02 05T16:42:36+0000Peter Andrews    The beat police do have the authority to do regular checks with respect to any vehicular movement    This is usually done when they are cases of vehicle thefts and the Civil Police usually do this to make sure the vehicle u r using belongs to you    Its called  Naakabandhi  in police language   :)?#+@2013 02 05T23:09:16+0000but why write down my complete address in his book if my documents are fine??#+@2013 02 08T17:15:31+0000Any fine below Rs 300 is a peanut and offenders pay each time and keep doing the same thing For all causes there should be hefty fine followed by severe action like canceling DL etc  only BTP can bring some discipline on road with strict enforcement of rules ?#+@2013 02 13T14:55:18+0000"
"19749",""
"19750","Dear BTP  y don t the fine be something like Rs 5000 minimum    So that the motor crimes may go down  ?#+@2013 02 05T12:53:38+0000Can we have a English version of this too?#+@2013 02 05T12:58:01+0000pl increase the fine and dont harass motorist just on assumptions and presumptions ?#+@2013 02 06T02:48:45+0000Dear BTP How do you find out other state vehicle is in use  more than 12 months in Karnataka ??#+@2013 02 06T06:11:25+0000"
"19751",""
"19752",""
"19753","wht s this sir     plz send in English so we can also read this sir        ?#+@2013 02 05T12:52:56+0000see the further post?#+@2013 02 05T13:11:06+0000Thanks sir?#+@2013 02 05T13:33:50+00008(?#+@2013 02 05T15:01:49+0000"
"19754","Bangalore Traffic Police toying charges in case of no parking  accidents??#+@2013 02 05T12:50:01+0000"
"19755","BTP   I have been complaining of cars being parked under the No Parking sign in from of the Village Super Market in Marathahalli   Next to Spice garden   No action has been taken and cars continue to be parked there in the peak hours causing jams in the narrow road   Would appreciate immediate action   Thanks?#+@2013 02 05T11:26:43+0000parking the vehicles under No parking boards HAS BECOME A BAD HABIT AMONG THE EDUCATED CLASS  THEY MAY ASK TOO:  WHERE WILL I PARK MY VEHICLE?  I REPLY   WILL YOU AT EAT DINING HALL OR LATRINE? ?#+@2013 02 05T11:27:36+0000more and more govt vehicles only parking at no parking area  police will not do any thing   If a auto is parked means immediately police will attack    for example sampige road malleswarm  IAS officers family will be inside some shops   Car will be parking infront of that shop Even is a no parking zone     ?#+@2013 02 05T12:14:07+0000Rules r not implement on officers its only for general public    ?#+@2013 02 05T12:34:12+0000will you at eat dining hall or latrine? LOL  That s a deep question ?#+@2013 02 05T13:09:42+0000kannadalli mahithige thanyavadagalu :)?#+@2013 02 05T13:33:26+0000The challenge is on the city planning where we have shops without proper parking designated  To avoid we need to have dedicated parking for 1000 cars for every 1 KM so that all the parking can be taken off the streets ?#+@2013 02 05T14:07:47+0000Those who are parking cars under no parking their are fool s of Bangalore `  
`@BBC?#+@2013 02 05T16:16:32+0000Thanks to Kamesh Krishnamuthy s effort ?#+@2013 02 11T07:48:29+0000"
"19757","Thanks for this heads up 
A map explaining all this shall be of great help ?#+@2013 02 05T07:24:32+0000How can I share this :(?#+@2013 02 05T15:23:50+0000useful  thanks?#+@2013 02 05T15:37:47+0000Very proactive  Nice    ?#+@2013 02 05T15:48:35+0000"
"19758","Good Morning ?#+@2013 02 05T02:46:19+0000very good morning?#+@2013 02 05T03:08:13+0000Very Good Morning BTP?#+@2013 02 05T03:34:38+0000G m0r?#+@2013 02 05T03:44:54+0000??????              ?#+@2013 02 05T04:14:16+0000Today  at 8:35 AM  I had the misfortune of being one of the cars in front of HCL s company cab (Route #7  it said  Reg # KA 42 2818
) on the stretch between Dairy circle and forum mall  It was bumper to bumper traffic  but the driver saw it fit to honk continuously all the way through  It caused immense stress to everyone on the road and certainly did not help anyone 
Some good it does to the brand image of companies when their vehicles terrorize people on the road like that ?#+@2013 02 05T04:48:47+0000BTP officers   On 7th Feb evening  a rash water tanker comes and dash our vehicle with 2 kids inside  Other helpful citizens were furious  Tanker driver flees off from the spot immediately  Owner of the tanker (Mr  Raghavendra) is called by traffic police  Cop has taken pictures of the tanker and was very nice  Mr  Raghavendra comes and offers all financial help needed  including repairing of the car and hospital expenses  We being the first timer  accept this and moved on  Next day  Mr  Raghavendra picks up phone after multiple attempts and he states that we should go to Whitefield police station (accident area belonged to HAL traffic police station) as he had some  connections  there and can manage it better  He now  wanted us to claim insurance (and he shall take care of the remaining portion not covered by insurance)   he forgot that  previous night he told  he will reimburse everything  Again we were fine claiming the reimbursement via insurance  but we did not accept his request for Whitefield  and instead went to HAL police station  We just filed for acknowledgement receipt and continued with Insurance claim  as he wished  Now he is not picking up the phone   

The question is not about few bucks here  Question I m asking to BTP is how do we stop this menace  He has done this with us  and he will keep taking police and system for granted  if we do not stop such elements of society  with  some  punishment as deterrent for future  

BTP   Pl  suggest how your team would want to handle such accidents from not only happening again  but even more dangerously   it not increasing to uncontrolled proportions? PLEASE ?#+@2013 02 13T06:46:12+0000"
"19760","Good One      :)?#+@2013 02 04T16:51:35+0000what do the red circles indicate please??#+@2013 02 04T16:51:43+0000They all are Junctions ?#+@2013 02 04T16:55:05+0000hats off BTP?#+@2013 02 04T16:58:59+0000i was working in maldivian army  at moment i was in bangalore  what should i do to visit and see that show   ?#+@2013 02 04T17:01:08+0000You can book tickets online visit aero show  2013?#+@2013 02 04T17:13:15+0000How much approx extra time i shd take if i am travelling to airpprt on 9th and flight time is 1 pm ?#+@2013 02 05T00:39:23+0000@ Gaurav   Pls click on the link the day you want to travel   http://goo gl/maps/HTAac   include the area you want to travel from and click on Get Directions and select traffic on the right hand side      If you search 3 hours before the exact departure to the airport  you can get the approximate travel time to the airport and plan your journey accordingly    This is more or less correct and i have tried this ?#+@2013 02 05T01:40:56+0000good information sir   thanks?#+@2013 02 05T02:37:30+0000Mr Gaurav if the flight is at 1 P M better leave at 10 00 am in the morning to be safe since 9th is second saturday & there will be a huge traffic on that road ?#+@2013 02 05T04:33:37+0000"
"19761","He is alive  Even Undertaker too  Both are wrestling  Kindly do not wrestle on wrong pages ?#+@2013 02 04T14:29:54+0000no spams allowed here  ?#+@2013 02 04T16:31:16+0000"
"19762","Are you able to read it?  

I can able to see only lines  ?#+@2013 02 04T05:25:07+0000BTP  Please attach good quality image  Map will be better ?#+@2013 02 04T05:28:42+0000Anjan Theatre Road is Blocked  ?#+@2013 02 04T05:29:07+0000Poor Image Depiction  Dear BTP  U Could have used Google Maps for better Depiction of the Roads/Image ?#+@2013 02 04T06:03:04+0000enu artha aagalilla saar  naavu allige hogi nodidare gottaagatte     Bangalore Traffic Police?#+@2013 02 04T06:14:41+0000This image is more than enuf for a proper bangalorean to understand   ?#+@2013 02 04T06:25:01+0000Pls let know the duration?#+@2013 02 04T06:32:05+0000When u say the road is closed  pls also mention alternate roads for the approach ?#+@2013 02 04T08:20:48+0000Thanks for the information  Map is very clear   ?#+@2013 02 04T08:35:08+0000"
"19764","BTP  for how many days would this be closed  sure the traffic would pile up from Prasanna Talkies  to the Okalipuram junction :( ?#+@2013 02 02T13:42:45+0000guess this is due to metro work  too much strain on Dr Rajkumar Road already  ?#+@2013 02 02T13:51:17+0000??????????? ??????(????) ?????????     ????????? ??/??/?????#+@2013 02 02T14:59:13+0000Good morning BTP  Bangalore is very famous for late works I hope this work will be finish very fast ?#+@2013 02 03T02:57:17+0000Dear Shetty  thanks  ?#+@2013 02 03T03:06:59+0000Thanks BTP for the info?#+@2013 02 03T11:30:18+0000thanks?#+@2013 02 04T07:17:35+0000"
